block_id,pressure,factual_decision,enforced_decision,strict_decision,primary_constraint,projection_pressure,cap_pressure,calibration_pressure
42,0.03214243127907734,accept,accept,accept,Monotonicity (CL1/CL3),0.019385117652936504,0.0,0.012757313626140831
43,0.03883353619657778,accept,accept,accept,Design Alignment,0.017155071797590512,0.0,0.021678464398987258
44,0.04609735563597449,accept,accept,accept,Design Alignment,0.016599609856114157,0.0,0.02949774577986033
45,0.031300611867280885,accept,accept,accept,Design Alignment,0.013551836435123003,0.0,0.017748775432157884
46,0.01545784706822384,accept,accept,accept,Design Alignment,0.0,0.0,0.01545784706822384
47,0.030307439535312397,accept,accept,accept,Design Alignment,0.007224641096105929,0.0,0.023082798439206468
48,0.05017784226208633,accept,accept,reject,Monotonicity (CL1/CL3),0.02857924515240898,0.0,0.021598597109677358
49,0.049684964524367964,accept,accept,accept,Monotonicity (CL1/CL3),0.031005644363430132,0.0,0.01867932016093783
50,0.02863656517348232,accept,accept,accept,Design Alignment,0.0,0.0,0.02863656517348232
51,0.045395406789277816,accept,accept,accept,Design Alignment,0.020110426885471076,0.0,0.02528497990380674
52,0.023737762753622417,accept,accept,accept,Design Alignment,0.0,0.0,0.023737762753622417
53,0.03172053358100054,accept,accept,accept,Design Alignment,0.012240136481465698,0.0,0.019480397099534842
54,0.016725713906122583,accept,accept,accept,Design Alignment,0.007398505806053797,0.0,0.009327208100068785
55,0.02795631240258535,accept,accept,accept,Monotonicity (CL1/CL3),0.014706404167366304,0.0,0.013249908235219047
56,0.04428966646428559,accept,accept,accept,Monotonicity (CL1/CL3),0.02643516198198349,0.0,0.017854504482302094
57,0.023102728562543067,accept,accept,accept,Design Alignment,0.01096877616246384,0.0,0.012133952400079225
58,0.03607796753910095,accept,accept,accept,Monotonicity (CL1/CL3),0.028209202098783637,0.0,0.007868765440317308
59,0.03878730844648273,accept,accept,accept,Monotonicity (CL1/CL3),0.03091854300616544,0.0,0.007868765440317293
60,0.03701722464159947,accept,accept,accept,Design Alignment,0.0,0.0,0.03701722464159947
61,0.03466658941580272,accept,accept,accept,Design Alignment,0.016000194312811602,0.0,0.018666395102991118
62,0.0236232318707097,accept,accept,accept,Design Alignment,0.002805940630783906,0.0,0.020817291239925796
63,0.042859502703296345,accept,accept,accept,Monotonicity (CL1/CL3),0.02915935923832697,0.0,0.013700143464969384
64,0.03094878203400948,accept,accept,accept,Monotonicity (CL1/CL3),0.018312795275112002,0.0,0.012635986758897478
65,0.01863612182417157,accept,accept,accept,Design Alignment,0.0021777062911655007,0.0,0.01645841553300607
66,0.013439818534462451,accept,accept,accept,Design Alignment,0.0018472970474371574,0.0,0.011592521487025295
