Радиация,Температура,Время,Выживаемость,thermal_rank,thermal_label,CEM43,generation_block
6.0,42.0,45.0,0.01906685460183899,0,42C_45min,11.25,9
6.0,44.0,30.0,0.0002702318571863653,2,44C_30min,60.0,41
6.0,42.0,45.0,0.013330383206515929,0,42C_45min,11.25,33
0.0,42.0,45.0,0.53,0,42C_45min,11.25,25
4.0,44.0,30.0,0.009293390669391699,2,44C_30min,60.0,13
0.0,44.0,30.0,0.027269967053860242,2,44C_30min,60.0,46
2.0,43.0,45.0,0.08414504807130399,1,43C_45min,45.0,39
4.0,42.0,45.0,0.29135125163770337,0,42C_45min,11.25,60
2.0,43.0,45.0,0.05420174877116602,1,43C_45min,45.0,4
2.0,42.0,45.0,0.21104519527876955,0,42C_45min,11.25,22
6.0,44.0,30.0,0.00043415571550280813,2,44C_30min,60.0,6
0.0,44.0,30.0,0.017287735955352046,2,44C_30min,60.0,21
2.0,43.0,45.0,0.057474993849314836,1,43C_45min,45.0,65
2.0,43.0,45.0,0.0621448366371552,1,43C_45min,45.0,20
8.0,42.0,45.0,0.0008479218001646176,0,42C_45min,11.25,18
8.0,44.0,30.0,0.0,2,44C_30min,60.0,61
4.0,42.0,45.0,0.26997296692636,0,42C_45min,11.25,40
6.0,42.0,45.0,0.02106667531309332,0,42C_45min,11.25,29
0.0,44.0,30.0,0.03403174843726739,2,44C_30min,60.0,56
2.0,44.0,30.0,0.006409467953447273,2,44C_30min,60.0,38
8.0,44.0,30.0,0.0,2,44C_30min,60.0,58
6.0,44.0,30.0,0.0003162406387744663,2,44C_30min,60.0,17
8.0,43.0,45.0,3.0166541565680307e-05,1,43C_45min,45.0,38
8.0,43.0,45.0,4.5975616550322806e-05,1,43C_45min,45.0,1
2.0,44.0,30.0,0.00906763213161126,2,44C_30min,60.0,2
4.0,43.0,45.0,0.06641831035885147,1,43C_45min,45.0,41
0.0,42.0,45.0,0.53,0,42C_45min,11.25,1
0.0,43.0,45.0,0.34633484248176055,1,43C_45min,45.0,15
0.0,42.0,45.0,0.53,0,42C_45min,11.25,55
0.0,43.0,45.0,0.11361358086320426,1,43C_45min,45.0,20
8.0,44.0,30.0,7.524414045114623e-08,2,44C_30min,60.0,3
4.0,43.0,45.0,0.04399103047117508,1,43C_45min,45.0,36
2.0,43.0,45.0,0.060209512649100225,1,43C_45min,45.0,14
6.0,42.0,45.0,0.02539501132238002,0,42C_45min,11.25,40
4.0,43.0,45.0,0.04089381187335735,1,43C_45min,45.0,46
4.0,43.0,45.0,0.05534899271992234,1,43C_45min,45.0,44
0.0,43.0,45.0,0.13138536133715592,1,43C_45min,45.0,58
0.0,42.0,45.0,0.53,0,42C_45min,11.25,5
4.0,44.0,30.0,0.008752666743699936,2,44C_30min,60.0,36
4.0,43.0,45.0,0.03800048791841279,1,43C_45min,45.0,7
2.0,42.0,45.0,0.23198889456227564,0,42C_45min,11.25,33
6.0,43.0,45.0,0.011028497083210338,1,43C_45min,45.0,39
6.0,44.0,30.0,0.0004984001161747177,2,44C_30min,60.0,49
8.0,42.0,45.0,0.0005918506751506959,0,42C_45min,11.25,19
6.0,42.0,45.0,0.02154548130102045,0,42C_45min,11.25,19
8.0,42.0,45.0,0.0006890214672872387,0,42C_45min,11.25,43
8.0,44.0,30.0,0.0,2,44C_30min,60.0,2
6.0,42.0,45.0,0.017264285978112217,0,42C_45min,11.25,39
8.0,42.0,45.0,0.001062768709941483,0,42C_45min,11.25,20
6.0,42.0,45.0,0.02065677440709323,0,42C_45min,11.25,45
6.0,44.0,30.0,0.00022119937379477288,2,44C_30min,60.0,4
6.0,43.0,45.0,0.013359326274616265,1,43C_45min,45.0,18
8.0,42.0,45.0,0.0005086133474496801,0,42C_45min,11.25,4
4.0,44.0,30.0,0.01002951617268198,2,44C_30min,60.0,21
8.0,43.0,45.0,7.254503717372099e-05,1,43C_45min,45.0,36
8.0,43.0,45.0,4.893600799094069e-05,1,43C_45min,45.0,66
8.0,44.0,30.0,0.0,2,44C_30min,60.0,47
4.0,44.0,30.0,0.010371193929556311,2,44C_30min,60.0,50
0.0,44.0,30.0,0.01728054031799587,2,44C_30min,60.0,22
8.0,42.0,45.0,0.0007584122696950623,0,42C_45min,11.25,25
4.0,42.0,45.0,0.3949225272058976,0,42C_45min,11.25,30
0.0,44.0,30.0,0.0217376413923565,2,44C_30min,60.0,35
8.0,43.0,45.0,3.00611840386643e-05,1,43C_45min,45.0,14
8.0,42.0,45.0,0.0007556964322057793,0,42C_45min,11.25,52
4.0,42.0,45.0,0.2534074180249661,0,42C_45min,11.25,29
2.0,43.0,45.0,0.07042822586393946,1,43C_45min,45.0,51
2.0,42.0,45.0,0.21823799831083324,0,42C_45min,11.25,6
4.0,44.0,30.0,0.010194523021313828,2,44C_30min,60.0,4
4.0,42.0,45.0,0.3792475543518838,0,42C_45min,11.25,55
0.0,43.0,45.0,0.2370597762342205,1,43C_45min,45.0,48
6.0,44.0,30.0,0.00032323911360657235,2,44C_30min,60.0,23
6.0,44.0,30.0,0.0003872438379434419,2,44C_30min,60.0,62
4.0,42.0,45.0,0.24905065719320751,0,42C_45min,11.25,17
6.0,43.0,45.0,0.00878728922208209,1,43C_45min,45.0,42
2.0,43.0,45.0,0.062478025027054074,1,43C_45min,45.0,43
2.0,43.0,45.0,0.046646621963043616,1,43C_45min,45.0,37
2.0,43.0,45.0,0.047033946495570834,1,43C_45min,45.0,64
4.0,44.0,30.0,0.006258022533244599,2,44C_30min,60.0,11
4.0,43.0,45.0,0.04105668610645252,1,43C_45min,45.0,61
4.0,44.0,30.0,0.008216958258400948,2,44C_30min,60.0,35
2.0,42.0,45.0,0.3792475543518838,0,42C_45min,11.25,55
0.0,42.0,45.0,0.53,0,42C_45min,11.25,66
6.0,44.0,30.0,0.0004511375005237404,2,44C_30min,60.0,54
0.0,43.0,45.0,0.16891826423918976,1,43C_45min,45.0,6
0.0,44.0,30.0,0.015597534972571412,2,44C_30min,60.0,29
6.0,42.0,45.0,0.03215744144988998,0,42C_45min,11.25,12
4.0,44.0,30.0,0.00957683379736854,2,44C_30min,60.0,65
8.0,44.0,30.0,0.0,2,44C_30min,60.0,35
8.0,44.0,30.0,0.0,2,44C_30min,60.0,19
8.0,42.0,45.0,0.0005167223495120299,0,42C_45min,11.25,59
6.0,43.0,45.0,0.009675494365471667,1,43C_45min,45.0,28
8.0,43.0,45.0,3.70391049563265e-05,1,43C_45min,45.0,47
6.0,43.0,45.0,0.014957301833970038,1,43C_45min,45.0,17
0.0,44.0,30.0,0.012897128321780502,2,44C_30min,60.0,16
6.0,42.0,45.0,0.027422946209801333,0,42C_45min,11.25,37
2.0,42.0,45.0,0.2800277969796405,0,42C_45min,11.25,39
0.0,42.0,45.0,0.53,0,42C_45min,11.25,30
0.0,44.0,30.0,0.02560654954289938,2,44C_30min,60.0,58
6.0,43.0,45.0,0.01523678353180296,1,43C_45min,45.0,53
2.0,43.0,45.0,0.05102339559159741,1,43C_45min,45.0,40
8.0,44.0,30.0,0.0,2,44C_30min,60.0,56
0.0,42.0,45.0,0.53,0,42C_45min,11.25,18
6.0,43.0,45.0,0.011914723564608211,1,43C_45min,45.0,66
6.0,42.0,45.0,0.016252453620626713,0,42C_45min,11.25,35
0.0,42.0,45.0,0.44362765513196617,0,42C_45min,11.25,4
2.0,44.0,30.0,0.007803719409779902,2,44C_30min,60.0,8
6.0,43.0,45.0,0.01150589693753862,1,43C_45min,45.0,14
0.0,42.0,45.0,0.53,0,42C_45min,11.25,2
0.0,44.0,30.0,0.021900752314910985,2,44C_30min,60.0,5
2.0,43.0,45.0,0.04508528051912214,1,43C_45min,45.0,3
8.0,42.0,45.0,0.0010582995453246777,0,42C_45min,11.25,16
4.0,42.0,45.0,0.22670431267944674,0,42C_45min,11.25,48
0.0,43.0,45.0,0.1866986499892582,1,43C_45min,45.0,19
8.0,43.0,45.0,4.684203452296194e-05,1,43C_45min,45.0,59
2.0,43.0,45.0,0.04105668610645252,1,43C_45min,45.0,61
2.0,44.0,30.0,0.008797518145834965,2,44C_30min,60.0,54
6.0,42.0,45.0,0.017670040057797372,0,42C_45min,11.25,16
0.0,44.0,30.0,0.020291744983336513,2,44C_30min,60.0,55
6.0,44.0,30.0,0.0001958305317145828,2,44C_30min,60.0,21
2.0,42.0,45.0,0.2617955799494338,0,42C_45min,11.25,43
8.0,43.0,45.0,3.240243857164166e-05,1,43C_45min,45.0,10
4.0,43.0,45.0,0.057474993849314836,1,43C_45min,45.0,65
8.0,44.0,30.0,6.343101158206711e-08,2,44C_30min,60.0,28
0.0,43.0,45.0,0.19045663626404635,1,43C_45min,45.0,63
0.0,44.0,30.0,0.035802199611564424,2,44C_30min,60.0,31
8.0,44.0,30.0,3.436129975022465e-08,2,44C_30min,60.0,20
8.0,42.0,45.0,0.0004931711894518502,0,42C_45min,11.25,46
2.0,44.0,30.0,0.010194523021313828,2,44C_30min,60.0,4
2.0,43.0,45.0,0.039114234186474583,1,43C_45min,45.0,59
0.0,42.0,45.0,0.53,0,42C_45min,11.25,40
4.0,43.0,45.0,0.06650615003386845,1,43C_45min,45.0,51
6.0,42.0,45.0,0.025661592295875876,0,42C_45min,11.25,43
6.0,43.0,45.0,0.012911430605994903,1,43C_45min,45.0,43
0.0,42.0,45.0,0.53,0,42C_45min,11.25,58
8.0,43.0,45.0,2.8128958055273396e-05,1,43C_45min,45.0,44
2.0,42.0,45.0,0.24080456072687614,0,42C_45min,11.25,20
2.0,43.0,45.0,0.04089381187335735,1,43C_45min,45.0,46
2.0,43.0,45.0,0.05231872256114557,1,43C_45min,45.0,21
0.0,42.0,45.0,0.53,0,42C_45min,11.25,21
4.0,42.0,45.0,0.20777946407551895,0,42C_45min,11.25,24
2.0,43.0,45.0,0.055143209320458596,1,43C_45min,45.0,32
6.0,43.0,45.0,0.01078351345076267,1,43C_45min,45.0,7
2.0,43.0,45.0,0.05245261813057355,1,43C_45min,45.0,66
6.0,44.0,30.0,0.0003352955071244429,2,44C_30min,60.0,32
4.0,44.0,30.0,0.01024031742220036,2,44C_30min,60.0,24
2.0,43.0,45.0,0.044721417235146756,1,43C_45min,45.0,17
6.0,42.0,45.0,0.025039288405277086,0,42C_45min,11.25,17
8.0,42.0,45.0,0.00046487602693431597,0,42C_45min,11.25,53
4.0,43.0,45.0,0.06083724099005676,1,43C_45min,45.0,45
2.0,43.0,45.0,0.03856604462306657,1,43C_45min,45.0,33
0.0,42.0,45.0,0.53,0,42C_45min,11.25,45
4.0,43.0,45.0,0.039398552199106915,1,43C_45min,45.0,25
4.0,42.0,45.0,0.2382453507931373,0,42C_45min,11.25,35
6.0,43.0,45.0,0.011173983167790696,1,43C_45min,45.0,56
4.0,43.0,45.0,0.03438622847067523,1,43C_45min,45.0,9
0.0,42.0,45.0,0.53,0,42C_45min,11.25,24
6.0,43.0,45.0,0.012094803509155202,1,43C_45min,45.0,24
0.0,44.0,30.0,0.0105054040900941,2,44C_30min,60.0,63
2.0,43.0,45.0,0.07542135481956519,1,43C_45min,45.0,50
4.0,44.0,30.0,0.005446241017075777,2,44C_30min,60.0,63
6.0,42.0,45.0,0.019311303906494666,0,42C_45min,11.25,55
0.0,43.0,45.0,0.17273780071463082,1,43C_45min,45.0,44
6.0,42.0,45.0,0.01466518949439127,0,42C_45min,11.25,13
4.0,44.0,30.0,0.009123839860259456,2,44C_30min,60.0,14
4.0,44.0,30.0,0.007333407450059671,2,44C_30min,60.0,27
4.0,43.0,45.0,0.054924790745469174,1,43C_45min,45.0,22
2.0,42.0,45.0,0.2664369788866614,0,42C_45min,11.25,14
2.0,42.0,45.0,0.24445994064975188,0,42C_45min,11.25,41
4.0,44.0,30.0,0.008199349514484202,2,44C_30min,60.0,5
2.0,43.0,45.0,0.052461919050176,1,43C_45min,45.0,2
0.0,42.0,45.0,0.4432299164686127,0,42C_45min,11.25,36
6.0,43.0,45.0,0.01527881886092448,1,43C_45min,45.0,46
4.0,43.0,45.0,0.046646621963043616,1,43C_45min,45.0,37
0.0,43.0,45.0,0.17529282452499437,1,43C_45min,45.0,56
0.0,43.0,45.0,0.14797550741514248,1,43C_45min,45.0,40
2.0,44.0,30.0,0.006258022533244599,2,44C_30min,60.0,11
4.0,44.0,30.0,0.007176426875591732,2,44C_30min,60.0,61
2.0,44.0,30.0,0.009675728976001777,2,44C_30min,60.0,33
2.0,43.0,45.0,0.03172548640846404,1,43C_45min,45.0,55
6.0,43.0,45.0,0.009204654587181697,1,43C_45min,45.0,4
6.0,44.0,30.0,0.00025561715182548657,2,44C_30min,60.0,9
0.0,42.0,45.0,0.53,0,42C_45min,11.25,62
4.0,43.0,45.0,0.03172548640846404,1,43C_45min,45.0,55
0.0,42.0,45.0,0.4426232825514296,0,42C_45min,11.25,44
4.0,42.0,45.0,0.21104519527876955,0,42C_45min,11.25,22
6.0,42.0,45.0,0.013949089652479575,0,42C_45min,11.25,44
8.0,44.0,30.0,0.0,2,44C_30min,60.0,16
8.0,42.0,45.0,0.000765028484786763,0,42C_45min,11.25,60
4.0,44.0,30.0,0.008085977523646709,2,44C_30min,60.0,47
6.0,43.0,45.0,0.015489146837762565,1,43C_45min,45.0,20
2.0,43.0,45.0,0.033342818219852965,1,43C_45min,45.0,49
2.0,44.0,30.0,0.00957683379736854,2,44C_30min,60.0,65
6.0,42.0,45.0,0.020504116077827685,0,42C_45min,11.25,3
0.0,43.0,45.0,0.17856707681904346,1,43C_45min,45.0,60
0.0,44.0,30.0,0.025792379252115808,2,44C_30min,60.0,0
6.0,42.0,45.0,0.02607540145290992,0,42C_45min,11.25,36
6.0,43.0,45.0,0.012676593283714828,1,43C_45min,45.0,23
6.0,42.0,45.0,0.018031002334703543,0,42C_45min,11.25,60
0.0,43.0,45.0,0.1381486863604262,1,43C_45min,45.0,36
2.0,43.0,45.0,0.06653379241458741,1,43C_45min,45.0,23
6.0,42.0,45.0,0.026981887116907053,0,42C_45min,11.25,66
4.0,42.0,45.0,0.2499945424628398,0,42C_45min,11.25,32
6.0,43.0,45.0,0.0072360066091825504,1,43C_45min,45.0,38
4.0,44.0,30.0,0.00789955115379784,2,44C_30min,60.0,2
4.0,42.0,45.0,0.233684442202997,0,42C_45min,11.25,2
6.0,44.0,30.0,0.00016690460708659164,2,44C_30min,60.0,15
4.0,44.0,30.0,0.007635723893381072,2,44C_30min,60.0,64
0.0,44.0,30.0,0.01879656025342494,2,44C_30min,60.0,13
4.0,44.0,30.0,0.00804639346154911,2,44C_30min,60.0,22
2.0,42.0,45.0,0.3006740160248341,0,42C_45min,11.25,0
8.0,44.0,30.0,0.0,2,44C_30min,60.0,13
6.0,42.0,45.0,0.032007770366184095,0,42C_45min,11.25,34
6.0,42.0,45.0,0.029770264000470836,0,42C_45min,11.25,53
6.0,44.0,30.0,0.0003421055141792171,2,44C_30min,60.0,20
6.0,42.0,45.0,0.023005061446195605,0,42C_45min,11.25,7
0.0,42.0,45.0,0.53,0,42C_45min,11.25,29
4.0,43.0,45.0,0.04772387515309607,1,43C_45min,45.0,5
8.0,44.0,30.0,0.0,2,44C_30min,60.0,5
4.0,42.0,45.0,0.2587341281589301,0,42C_45min,11.25,19
8.0,42.0,45.0,0.0006582867730505781,0,42C_45min,11.25,5
4.0,42.0,45.0,0.3441057934788478,0,42C_45min,11.25,66
8.0,44.0,30.0,0.0,2,44C_30min,60.0,52
8.0,44.0,30.0,0.0,2,44C_30min,60.0,59
8.0,43.0,45.0,3.659201755488136e-05,1,43C_45min,45.0,26
8.0,43.0,45.0,2.9318220861991784e-05,1,43C_45min,45.0,21
8.0,44.0,30.0,2.1275269679707307e-07,2,44C_30min,60.0,34
4.0,42.0,45.0,0.24402130321576454,0,42C_45min,11.25,61
8.0,42.0,45.0,0.0007355973406958365,0,42C_45min,11.25,61
2.0,44.0,30.0,0.006762808182296413,2,44C_30min,60.0,0
0.0,43.0,45.0,0.21519268668935615,1,43C_45min,45.0,49
2.0,44.0,30.0,0.00873499081476433,2,44C_30min,60.0,31
8.0,42.0,45.0,0.0005944199638403997,0,42C_45min,11.25,6
0.0,43.0,45.0,0.1894412096370821,1,43C_45min,45.0,18
0.0,44.0,30.0,0.02763231641608073,2,44C_30min,60.0,24
2.0,42.0,45.0,0.26435382920303246,0,42C_45min,11.25,58
4.0,44.0,30.0,0.007608992083860056,2,44C_30min,60.0,53
6.0,43.0,45.0,0.010194752288548216,1,43C_45min,45.0,25
4.0,42.0,45.0,0.20103971915903868,0,42C_45min,11.25,42
6.0,44.0,30.0,0.000342157653184408,2,44C_30min,60.0,25
0.0,42.0,45.0,0.53,0,42C_45min,11.25,33
2.0,42.0,45.0,0.3809632501952107,0,42C_45min,11.25,8
2.0,44.0,30.0,0.011729077742603526,2,44C_30min,60.0,60
0.0,42.0,45.0,0.53,0,42C_45min,11.25,17
2.0,42.0,45.0,0.2382453507931373,0,42C_45min,11.25,35
8.0,43.0,45.0,5.6228652519955845e-05,1,43C_45min,45.0,0
4.0,42.0,45.0,0.3189235146373091,0,42C_45min,11.25,13
4.0,44.0,30.0,0.006226639393542944,2,44C_30min,60.0,40
6.0,44.0,30.0,0.00026593714765871474,2,44C_30min,60.0,5
4.0,44.0,30.0,0.007231887819972568,2,44C_30min,60.0,52
4.0,43.0,45.0,0.08414504807130399,1,43C_45min,45.0,39
4.0,43.0,45.0,0.05521944610805341,1,43C_45min,45.0,53
2.0,43.0,45.0,0.09058445343235268,1,43C_45min,45.0,16
6.0,43.0,45.0,0.012525909011796859,1,43C_45min,45.0,19
4.0,42.0,45.0,0.2664369788866614,0,42C_45min,11.25,14
0.0,44.0,30.0,0.011553009208707544,2,44C_30min,60.0,48
2.0,43.0,45.0,0.04594558960119536,1,43C_45min,45.0,24
2.0,43.0,45.0,0.04704384373216177,1,43C_45min,45.0,30
4.0,43.0,45.0,0.0525743439651781,1,43C_45min,45.0,15
6.0,43.0,45.0,0.01613694667882752,1,43C_45min,45.0,63
4.0,42.0,45.0,0.29332266490919956,0,42C_45min,11.25,63
4.0,42.0,45.0,0.22983936009000872,0,42C_45min,11.25,53
6.0,44.0,30.0,0.0005921808169726023,2,44C_30min,60.0,33
2.0,43.0,45.0,0.04408508431217259,1,43C_45min,45.0,31
4.0,43.0,45.0,0.04594558960119536,1,43C_45min,45.0,24
4.0,44.0,30.0,0.00873499081476433,2,44C_30min,60.0,31
6.0,43.0,45.0,0.012619524208479813,1,43C_45min,45.0,62
8.0,43.0,45.0,2.4271782570046043e-05,1,43C_45min,45.0,28
6.0,43.0,45.0,0.014540187913139378,1,43C_45min,45.0,0
6.0,43.0,45.0,0.009831570278055105,1,43C_45min,45.0,10
4.0,42.0,45.0,0.26425105891218226,0,42C_45min,11.25,36
6.0,43.0,45.0,0.008820064509813336,1,43C_45min,45.0,29
4.0,43.0,45.0,0.055143209320458596,1,43C_45min,45.0,32
4.0,43.0,45.0,0.058754291166331796,1,43C_45min,45.0,28
2.0,42.0,45.0,0.29550803451611074,0,42C_45min,11.25,52
6.0,42.0,45.0,0.01947913700913433,0,42C_45min,11.25,63
6.0,42.0,45.0,0.025778916403739468,0,42C_45min,11.25,22
6.0,44.0,30.0,0.0002197880567690662,2,44C_30min,60.0,38
6.0,42.0,45.0,0.027224613702289555,0,42C_45min,11.25,62
0.0,44.0,30.0,0.02253611899593279,2,44C_30min,60.0,38
8.0,44.0,30.0,0.0,2,44C_30min,60.0,39
6.0,43.0,45.0,0.013812745463023687,1,43C_45min,45.0,35
0.0,43.0,45.0,0.12540077186731802,1,43C_45min,45.0,39
4.0,43.0,45.0,0.046561185224105524,1,43C_45min,45.0,47
2.0,42.0,45.0,0.3949225272058976,0,42C_45min,11.25,30
4.0,44.0,30.0,0.008687119396469602,2,44C_30min,60.0,30
4.0,44.0,30.0,0.007831038610001565,2,44C_30min,60.0,15
8.0,42.0,45.0,0.000706972285925877,0,42C_45min,11.25,23
8.0,43.0,45.0,3.8794592017171514e-05,1,43C_45min,45.0,48
4.0,43.0,45.0,0.060209512649100225,1,43C_45min,45.0,14
6.0,42.0,45.0,0.017579283279915776,0,42C_45min,11.25,5
2.0,42.0,45.0,0.251772446340136,0,42C_45min,11.25,10
4.0,43.0,45.0,0.0621448366371552,1,43C_45min,45.0,20
2.0,42.0,45.0,0.20103971915903868,0,42C_45min,11.25,42
0.0,44.0,30.0,0.03444679597845712,2,44C_30min,60.0,52
0.0,43.0,45.0,0.15988801819433762,1,43C_45min,45.0,34
0.0,44.0,30.0,0.024680006082730035,2,44C_30min,60.0,23
6.0,43.0,45.0,0.01518936413524607,1,43C_45min,45.0,32
6.0,44.0,30.0,0.0001962967551232726,2,44C_30min,60.0,47
2.0,42.0,45.0,0.359186089374977,0,42C_45min,11.25,9
2.0,42.0,45.0,0.28159389996627254,0,42C_45min,11.25,47
0.0,43.0,45.0,0.17679927538908188,1,43C_45min,45.0,21
4.0,43.0,45.0,0.05125617563223035,1,43C_45min,45.0,48
2.0,43.0,45.0,0.04301762283002919,1,43C_45min,45.0,42
0.0,42.0,45.0,0.53,0,42C_45min,11.25,0
4.0,42.0,45.0,0.2894940599813708,0,42C_45min,11.25,21
4.0,42.0,45.0,0.28159389996627254,0,42C_45min,11.25,47
8.0,42.0,45.0,0.0007120914489727006,0,42C_45min,11.25,36
4.0,43.0,45.0,0.03911135894150133,1,43C_45min,45.0,58
8.0,42.0,45.0,0.0009012202861120211,0,42C_45min,11.25,35
0.0,44.0,30.0,0.021498904047975807,2,44C_30min,60.0,32
2.0,43.0,45.0,0.03986517951682614,1,43C_45min,45.0,27
8.0,42.0,45.0,0.0006857110917553379,0,42C_45min,11.25,11
6.0,43.0,45.0,0.011107856768360715,1,43C_45min,45.0,8
6.0,42.0,45.0,0.01950985993241363,0,42C_45min,11.25,26
2.0,44.0,30.0,0.006380433243411663,2,44C_30min,60.0,28
0.0,44.0,30.0,0.015759956843443716,2,44C_30min,60.0,37
4.0,44.0,30.0,0.010114456456922256,2,44C_30min,60.0,60
2.0,44.0,30.0,0.007021468953941012,2,44C_30min,60.0,6
8.0,44.0,30.0,0.0,2,44C_30min,60.0,62
4.0,42.0,45.0,0.3093070754440333,0,42C_45min,11.25,12
6.0,42.0,45.0,0.023954422270016713,0,42C_45min,11.25,18
0.0,42.0,45.0,0.53,0,42C_45min,11.25,60
8.0,44.0,30.0,0.0,2,44C_30min,60.0,4
6.0,44.0,30.0,0.00032880449852525784,2,44C_30min,60.0,19
0.0,43.0,45.0,0.1892852646207923,1,43C_45min,45.0,9
2.0,44.0,30.0,0.0076042855792623106,2,44C_30min,60.0,20
6.0,42.0,45.0,0.024624654159303108,0,42C_45min,11.25,28
0.0,43.0,45.0,0.20701384823803673,1,43C_45min,45.0,22
8.0,44.0,30.0,0.0,2,44C_30min,60.0,9
4.0,44.0,30.0,0.006380433243411663,2,44C_30min,60.0,28
0.0,42.0,45.0,0.53,0,42C_45min,11.25,39
2.0,44.0,30.0,0.008916792775775884,2,44C_30min,60.0,9
2.0,44.0,30.0,0.008687119396469602,2,44C_30min,60.0,30
2.0,43.0,45.0,0.048902964075679414,1,43C_45min,45.0,11
2.0,42.0,45.0,0.233684442202997,0,42C_45min,11.25,2
8.0,43.0,45.0,4.161778625484338e-05,1,43C_45min,45.0,51
2.0,42.0,45.0,0.3189235146373091,0,42C_45min,11.25,13
2.0,42.0,45.0,0.3063636125706848,0,42C_45min,11.25,26
0.0,44.0,30.0,0.023573908076986994,2,44C_30min,60.0,57
6.0,42.0,45.0,0.017275759577427705,0,42C_45min,11.25,11
2.0,44.0,30.0,0.008085977523646709,2,44C_30min,60.0,47
6.0,43.0,45.0,0.01104781526034606,1,43C_45min,45.0,9
8.0,43.0,45.0,3.9560936744116324e-05,1,43C_45min,45.0,11
4.0,42.0,45.0,0.3006740160248341,0,42C_45min,11.25,0
0.0,42.0,45.0,0.53,0,42C_45min,11.25,50
2.0,42.0,45.0,0.257295966061339,0,42C_45min,11.25,32
2.0,42.0,45.0,0.26018621652714186,0,42C_45min,11.25,5
0.0,42.0,45.0,0.53,0,42C_45min,11.25,61
4.0,44.0,30.0,0.008797518145834965,2,44C_30min,60.0,54
2.0,42.0,45.0,0.1880610525441518,0,42C_45min,11.25,16
0.0,42.0,45.0,0.53,0,42C_45min,11.25,10
0.0,44.0,30.0,0.028089595692003855,2,44C_30min,60.0,53
8.0,44.0,30.0,0.0,2,44C_30min,60.0,15
0.0,42.0,45.0,0.53,0,42C_45min,11.25,15
8.0,43.0,45.0,3.830721334186025e-05,1,43C_45min,45.0,61
6.0,43.0,45.0,0.01075152587114139,1,43C_45min,45.0,33
0.0,44.0,30.0,0.026424869652583834,2,44C_30min,60.0,9
2.0,44.0,30.0,0.008675392368330334,2,44C_30min,60.0,66
8.0,44.0,30.0,0.0,2,44C_30min,60.0,51
6.0,43.0,45.0,0.017392269033450192,1,43C_45min,45.0,12
0.0,43.0,45.0,0.22083450189505807,1,43C_45min,45.0,3
6.0,44.0,30.0,0.0002830076368521957,2,44C_30min,60.0,46
4.0,44.0,30.0,0.006652776252741848,2,44C_30min,60.0,7
4.0,44.0,30.0,0.005455097405205055,2,44C_30min,60.0,39
0.0,43.0,45.0,0.1582371641382106,1,43C_45min,45.0,4
2.0,44.0,30.0,0.007333407450059671,2,44C_30min,60.0,27
8.0,42.0,45.0,0.0005985100776359929,0,42C_45min,11.25,29
8.0,42.0,45.0,0.0008050774592023942,0,42C_45min,11.25,50
8.0,42.0,45.0,0.0005849199703504383,0,42C_45min,11.25,66
8.0,44.0,30.0,0.0,2,44C_30min,60.0,1
